setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,61481.481481481474,16767.106666666667,808.0834493194293,17203.89225225225,815.3983028319358,63083.08308308308,0.052856371413523534,0.05241373840354241,0.01569031449996541,3.427446775020011,4.785639468378849,4.78785298767286,4.787855789304772,4.787855789304772
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313282858,18009.21567567569,829.3781992253499,66036.03603603608,0.052856371413523534,0.05241373840354241,nan,3.342771189391626,5.488901019838369,5.490355743269826,5.490558785973972,5.490558785973972
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,50020.02002001998,13641.35981981981,761.226230653274,17190.24270270267,815.1668663175375,63033.033033032916,0.052856371413523534,0.05241373840354241,0.046451791582811076,3.4722388658522076,4.838444610065857,4.842400037943833,4.84247949726856,4.84247949726856
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,33953.95395395397,9259.85441441442,711.7601478955899,16098.278738738769,797.2471270465439,59029.02902902914,0.052856371413523534,0.05241373840354241,0.05359253751376157,3.491393484703626,3.914045959072574,3.9158521497248095,3.9159117333342435,3.9159117333342435
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,3.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,52672.672672672634,14364.785945945936,771.2141492386639,14583.17873873873,774.3307713272633,53473.47347347344,0.052856371413523534,0.05241373840354241,0.01970436813019731,3.4283166139195105,6.759636193657306,6.770442298939754,6.770551840048195,6.770551840048195
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,3.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313282873,15211.058018018037,783.5530120894625,55775.77577577584,0.052856371413523534,0.05241373840354241,nan,3.343961142977264,7.986700421400083,8.00389652251806,8.003927515245913,8.003927515245913
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,3.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,44964.96496496493,12262.755315315306,743.6212590161725,14583.178738738754,774.3307736254768,53473.473473473525,0.052856371413523534,0.05241373840354241,0.055716185245354655,3.473273338363252,6.849707580844547,6.861388113483436,6.861555528020997,6.861555528020997
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,3.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,32752.752752752767,8932.26522522523,708.8222554061468,13723.25711711714,762.3310355815919,50320.320320320396,0.052856371413523534,0.05241373840354241,0.06432254650455078,3.49235592606534,5.401593920345633,5.403938300870928,5.4039801107911,5.4039801107911
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,10.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,47117.11711711718,12849.685945945965,750.887373478607,12986.18144144146,752.6258474330559,47617.61761761768,0.052856371413523534,0.05241373840354241,0.021108297859657992,3.4284458712720616,9.682932537348867,9.709348608588352,9.709383597854698,9.709383597854698
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,10.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313282877,13463.915675675678,758.8551678486167,49369.36936936938,0.052856371413523534,0.05241373840354241,nan,3.3440474318326388,11.984363422617866,12.01935821093334,12.019599259187803,12.019599259187803
